ID0067img.mat,0.979064039408867,[0.98116761 0.98290598 0.93670886 1.        ],[0.98674242 0.93495935 0.97368421 1.        ],[0.98116761 0.98290598 0.93670886 1.        ],[0.98394712 0.95833333 0.95483871 1.        ],[0.97508897 0.98848921 0.99727149 1.        ],[0.99592523 0.99934821 0.99288514 1.        ],[531 117  79  85]
ID0018img.mat,0.9908088235294118,[1.         0.99371069 0.85       1.        ],[0.99242424 0.99059561 0.94444444 1.        ],[1.         0.99371069 0.85       1.        ],[0.99619772 0.99215071 0.89473684 1.        ],[0.99757869 0.98672566 0.9980916  1.        ],[0.99996303 0.99890076 0.99341603 1.        ],[131 318  20  75]
ID0025img.mat,0.9098360655737705,[0.95031056 0.85714286 0.71428571 0.9       ],[0.93292683 0.8        0.9375     0.94736842],[0.95031056 0.85714286 0.71428571 0.9       ],[0.94153846 0.82758621 0.81081081 0.92307692],[0.86746988 0.95544554 0.9955157  0.99553571],[0.97725062 0.97689769 0.99679693 0.99375   ],[161  42  21  20]
ID0029img.mat,0.9981965734896303,[0.99866844 1.         0.95652174 1.        ],[0.99866844 1.         0.95652174 1.        ],[0.99866844 1.         0.95652174 1.        ],[0.99866844 1.         0.95652174 1.        ],[0.9972067  1.         0.99907919 1.        ],[0.99999256 1.         0.99983986 1.        ],[751  14  23 321]
ID0030img.mat,0.9993399339933994,[1.         1.         0.99428571 1.        ],[0.99807322 1.         1.         1.        ],[1.         1.         0.99428571 1.        ],[0.99903568 1.         0.99713467 1.        ],[0.99899699 1.         1.         1.        ],[0.99999613 1.         0.99999147 1.        ],[518 548 175 274]
ID0033img.mat,0.9954932398597897,[0.99925094 0.99489796 0.96022727 1.        ],[0.99552239 0.98984772 1.         0.99656357],[0.99925094 0.99489796 0.96022727 1.        ],[0.99738318 0.99236641 0.97971014 0.99827883],[0.99093656 0.99888951 1.         0.99941418],[0.99849225 0.99997734 0.99438683 0.99999596],[1335  196  176  290]
ID0034img.mat,0.9960526315789474,[1.         1.         0.95833333 1.        ],[0.98755187 1.         1.         1.        ],[1.         1.         0.95833333 1.        ],[0.99373695 1.         0.9787234  1.        ],[0.99425287 1.         1.         1.        ],[0.99935606 1.         0.99886951 1.        ],[238 294  72 156]
ID0035img.mat,0.9977777777777778,[0.99612403 1.         1.         1.        ],[1.         1.         0.98351648 1.        ],[0.99612403 1.         1.         1.        ],[0.99805825 1.         0.99168975 1.        ],[1.         1.         0.99743809 1.        ],[1.         1.         0.99999523 1.        ],[774 279 179 118]
ID0038img.mat,0.9955423476968797,[0.99712644 1.         1.         0.98787879],[0.99426934 1.         1.         0.99390244],[0.99712644 1.         1.         0.98787879],[0.99569584 1.         1.         0.99088146],[0.99384615 1.         1.         0.9980315 ],[0.99992042 1.         1.         0.99995228],[348  98  62 165]
ID0047C1img.mat,0.8708333333333333,[0.94405594 0.78378378 0.54545455 1.        ],[0.9375     0.725      0.94736842 0.72972973],[0.94405594 0.78378378 0.54545455 1.        ],[0.94076655 0.75324675 0.69230769 0.84375   ],[0.90721649 0.94581281 0.99516908 0.95305164],[0.97390239 0.94421515 0.94466403 0.99617458],[143  37  33  27]
